#  aims_uuid : 222F905C-D19D-4B41-A54F-3F46AF5E1A00                                
# Angular momentum resolved density for species Sbas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.780076 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -19.66386870        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.65986830        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.65586790        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.65186750        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.64786710        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.64386670        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.63986630        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.63586590        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.63186550        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.62786510        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.62386470        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.61986430        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.61586390        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.61186350        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.60786310        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.60386270        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.59986230        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.59586190        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.59186150        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.58786110        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.58386070        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.57986030        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.57585990        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.57185950        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.56785910        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.56385870        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.55985830        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.55585790        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
