# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -23.69986999          0.00000000
        -23.69586959          0.00000000
        -23.69186919          0.00000000
        -23.68786879          0.00000000
        -23.68386839          0.00000000
        -23.67986799          0.00000000
        -23.67586759          0.00000000
        -23.67186719          0.00000000
        -23.66786679          0.00000000
        -23.66386639          0.00000000
        -23.65986599          0.00000000
        -23.65586559          0.00000000
        -23.65186519          0.00000000
        -23.64786479          0.00000000
        -23.64386439          0.00000000
        -23.63986399          0.00000000
        -23.63586359          0.00000000
        -23.63186319          0.00000000
        -23.62786279          0.00000000
        -23.62386239          0.00000000
        -23.61986199          0.00000000
        -23.61586159          0.00000000
        -23.61186119          0.00000000
        -23.60786079          0.00000000
        -23.60386039          0.00000000
        -23.59985999          0.00000000
        -23.59585959          0.00000000
        -23.59185919          0.00000000
        -23.58785879          0.00000000
        -23.58385839          0.00000000
        -23.57985799          0.00000000
        -23.57585759          0.00000000
        -23.57185719          0.00000000
        -23.56785679          0.00000000
        -23.56385639          0.00000000
        -23.55985599          0.00000000
        -23.55585559          0.00000000
        -23.55185519          0.00000000
        -23.54785479          0.00000000
        -23.54385439          0.00000000
        -23.53985399          0.00000000
        -23.53585359          0.00000000
        -23.53185319          0.00000000
        -23.52785279          0.00000000
        -23.52385239          0.00000000
        -23.51985199          0.00000000
        -23.51585159          0.00000000
        -23.51185119          0.00000000
        -23.50785079          0.00000000
        -23.50385039          0.00000000
        -23.49984998          0.00000000
        -23.49584958          0.00000000
        -23.49184918          0.00000000
        -23.48784878          0.00000000
        -23.48384838          0.00000000
        -23.47984798          0.00000000
        -23.47584758          0.00000000
        -23.47184718          0.00000000
        -23.46784678          0.00000000
        -23.46384638          0.00000000
        -23.45984598          0.00000000
        -23.45584558          0.00000000
        -23.45184518          0.00000000
        -23.44784478          0.00000000
        -23.44384438          0.00000000
        -23.43984398          0.00000000
        -23.43584358          0.00000000
        -23.43184318          0.00000000
        -23.42784278          0.00000000
        -23.42384238          0.00000000
        -23.41984198          0.00000000
        -23.41584158          0.00000000
        -23.41184118          0.00000000
        -23.40784078          0.00000000
        -23.40384038          0.00000000
        -23.39983998          0.00000000
        -23.39583958          0.00000000
        -23.39183918          0.00000000
        -23.38783878          0.00000000
        -23.38383838          0.00000000
        -23.37983798          0.00000000
        -23.37583758          0.00000000
        -23.37183718          0.00000000
        -23.36783678          0.00000000
        -23.36383638          0.00000000
        -23.35983598          0.00000000
        -23.35583558          0.00000000
        -23.35183518          0.00000000
        -23.34783478          0.00000000
        -23.34383438          0.00000000
        -23.33983398          0.00000000
        -23.33583358          0.00000000
        -23.33183318          0.00000000
        -23.32783278          0.00000000
        -23.32383238          0.00000000
        -23.31983198          0.00000000
        -23.31583158          0.00000000
        -23.31183118          0.00000000
        -23.30783078          0.00000000
        -23.30383038          0.00000000
        -23.29982998          0.00000000
        -23.29582958          0.00000000
        -23.29182918          0.00000000
        -23.28782878          0.00000000
        -23.28382838          0.00000000
        -23.27982798          0.00000000
        -23.27582758          0.00000000
        -23.27182718          0.00000000
        -23.26782678          0.00000000
        -23.26382638          0.00000000
        -23.25982598          0.00000000
        -23.25582558          0.00000000
        -23.25182518          0.00000000
        -23.24782478          0.00000000
        -23.24382438          0.00000000
        -23.23982398          0.00000000
        -23.23582358          0.00000000
        -23.23182318          0.00000000
        -23.22782278          0.00000000
        -23.22382238          0.00000000
        -23.21982198          0.00000000
        -23.21582158          0.00000000
        -23.21182118          0.00000000
        -23.20782078          0.00000000
        -23.20382038          0.00000000
        -23.19981998          0.00000000
        -23.19581958          0.00000000
        -23.19181918          0.00000000
        -23.18781878          0.00000000
        -23.18381838          0.00000000
        -23.17981798          0.00000000
        -23.17581758          0.00000000
        -23.17181718          0.00000000
        -23.16781678          0.00000000
        -23.16381638          0.00000000
        -23.15981598          0.00000000
        -23.15581558          0.00000000
        -23.15181518          0.00000000
        -23.14781478          0.00000000
        -23.14381438          0.00000000
        -23.13981398          0.00000000
        -23.13581358          0.00000000
        -23.13181318          0.00000000
        -23.12781278          0.00000000
        -23.12381238          0.00000000
        -23.11981198          0.00000000
        -23.11581158          0.00000000
        -23.11181118          0.00000000
        -23.10781078          0.00000000
        -23.10381038          0.00000000
        -23.09980998          0.00000000
        -23.09580958          0.00000000
        -23.09180918          0.00000000
        -23.08780878          0.00000000
        -23.08380838          0.00000000
        -23.07980798          0.00000000
        -23.07580758          0.00000000
        -23.07180718          0.00000000
        -23.06780678          0.00000000
        -23.06380638          0.00000000
        -23.05980598          0.00000000
        -23.05580558          0.00000000
        -23.05180518          0.00000000
        -23.04780478          0.00000000
        -23.04380438          0.00000000
        -23.03980398          0.00000000
        -23.03580358          0.00000000
        -23.03180318          0.00000000
        -23.02780278          0.00000000
